Genes,GLC01,A549,BEAS,NCI-H23,CALU-3
ATD3B_HUMAN,-0.340850857,0.928666575,2.842257387,4.387804496,2.873049525
PRD16_HUMAN,-0.142594238,1.282426803,-0.340850857,2.655598848,-0.340850857
PEX10_HUMAN,4.168171767,4.178317109,3.932524668,4.478708196,4.021410588
PEX14_HUMAN,3.24351339,3.575851905,4.088121866,3.689607909,3.260967939
SPSB1_HUMAN,2.29791012,3.46817828,1.483321752,1.819646644,0.992168295
PKHM2_HUMAN,4.733472954,5.098234444,5.80594383,4.841215281,4.242703952
NMNA1_HUMAN,2.131378005,3.290880247,4.172474274,2.772947732,2.301442946
CHD5_HUMAN,-0.142594238,-0.014861464,0.340635764,2.216933113,-0.137246653
TMM51_HUMAN,5.265473183,6.065083061,4.155429048,4.693690371,6.535930552
FBX42_HUMAN,2.894292458,3.228344884,4.119388562,3.927369697,3.080916431
AL4A1_HUMAN,5.025592835,5.091023339,4.118189944,4.431454972,4.466400769
CLCN6_HUMAN,3.304582882,3.653537265,4.498888561,2.866171721,3.877903796
RER1_HUMAN,5.248572869,4.70409415,5.780365064,5.558289883,5.272598098
PANK4_HUMAN,2.472534982,2.237337717,2.392056506,2.53695421,1.56986571
VP13D_HUMAN,5.357924775,5.388434915,5.896253205,5.535821044,5.276305835
RET7_HUMAN,-0.12854251,0.868305231,3.76811064,2.692981722,-0.137246653
GP157_HUMAN,3.494118646,2.292197181,2.191319148,3.448807445,2.33847614
ZBT40_HUMAN,4.029366524,4.555200298,5.339649658,5.239850689,4.720257157
NPHP4_HUMAN,2.125117125,2.959855903,2.674050617,3.330822314,2.247133699
SZRD1_HUMAN,5.493480648,5.63253994,5.622864543,5.727964978,5.175337739
PDK1L_HUMAN,2.951593741,3.023565252,3.843629461,2.557302452,3.29491918
NECP2_HUMAN,3.628147668,4.447222821,4.286875451,4.350292966,3.621953008
PHAR4_HUMAN,6.306179792,6.973395724,7.401547265,7.296796144,7.096520355
CNKR1_HUMAN,-0.340850857,-0.340850857,1.683005236,1.474932446,2.515838723
ICMT_HUMAN,5.928638849,5.049772419,5.570394982,5.880284155,5.225163797
MED18_HUMAN,5.028792616,5.704228809,6.62533266,5.679445241,5.674114417
SL9A1_HUMAN,2.449920795,1.781350261,3.881931556,2.826985149,2.688502081
ARH_HUMAN,3.905254677,3.694669931,5.026967384,4.405786767,3.773254519
ATIF1_HUMAN,8.067094129,8.122558821,8.276073098,7.634566128,8.119319671
SDC3_HUMAN,1.875277586,2.783442197,3.534301935,3.212812155,2.810717852
PAFA2_HUMAN,4.565201356,4.343029527,3.448146806,4.63543508,4.724924887
DNJC8_HUMAN,6.912070971,7.854615827,8.277022469,8.011803081,7.078753081
SESN2_HUMAN,4.933602594,4.032731676,7.595626967,4.56253395,5.509474785
SERC2_HUMAN,5.529745234,1.708101884,3.05782199,1.512587875,4.76277384
AJAP1_HUMAN,-0.340850857,-0.340850857,-0.340850857,3.573077052,-0.340850857
PTAFR_HUMAN,1.409439808,-0.012256657,0.632005434,0.241700043,0.683234377
NKAI1_HUMAN,0.271075634,0.791905648,-0.340850857,0.948540261,-0.340850857
SNR40_HUMAN,3.954854806,3.868674202,4.300365554,4.559102434,3.775096869
S2533_HUMAN,2.994431307,2.276224925,3.746930302,3.901407561,3.060577275
CXB3_HUMAN,0.417853426,-0.340850857,-0.340850857,0.580990495,3.499676247
DJC16_HUMAN,5.386281141,5.169163122,5.208316747,5.292165698,4.995334676
EYA3_HUMAN,4.517358714,5.15751985,5.068090544,5.182632056,4.617120415
ZN593_HUMAN,4.501638984,4.293567924,5.297918669,5.253915308,3.689994431
EPHA2_HUMAN,2.75910942,3.524086363,2.570890625,4.244487369,4.093038711
ARHGJ_HUMAN,4.075906866,3.900321806,4.391473664,5.713632678,4.472089134
GP153_HUMAN,0.317968695,1.260578257,2.003282199,1.455058558,0.716719815
KAZRN_HUMAN,2.222681097,2.079424098,0.29524124,4.366646313,2.206689973
TNR1B_HUMAN,0.058767287,1.409077637,0.132556066,2.034833753,2.643114706
UBE4B_HUMAN,5.076703292,5.306237776,4.898439339,5.590076192,4.483297862
PTPRU_HUMAN,4.771150094,3.510206714,3.759060423,2.777159191,4.782487174
ZMYM6_HUMAN,4.160654803,4.340405438,3.79157468,4.56836672,4.531529057
AGO4_HUMAN,3.61455255,4.333263727,5.52732677,3.500753313,4.148699246
BOREA_HUMAN,6.223600811,6.951209544,6.61559402,7.618128524,6.449609272
ZBT8B_HUMAN,-0.340850857,-0.155374411,0.761462595,1.705622897,0.079179578
RL22_HUMAN,7.464379107,7.473708252,6.472735604,7.981457034,7.525700959
RN207_HUMAN,2.321105189,2.282470261,0.617095441,2.319096378,3.176571275
PAX7_HUMAN,4.689561788,-0.150746835,-0.340850857,0.241700043,-0.340850857
EXTL1_HUMAN,-0.139489332,-0.340850857,-0.340850857,-0.340850857,-0.340850857
CASZ1_HUMAN,1.315096693,1.708258952,2.415160697,3.466200425,3.464146098
SPEB_HUMAN,4.893863136,2.0622283,0.820992946,2.749381443,4.046727062
IDLC_HUMAN,-0.340850857,-0.340850857,2.267127009,-0.340850857,2.452576502
RRAGC_HUMAN,3.431919659,4.012964286,5.418378414,3.442587516,4.130905732
GRIK3_HUMAN,-0.340850857,-0.340850857,-0.340850857,3.083513973,-0.340850857
YRDC_HUMAN,5.093896177,4.585504902,5.161782412,5.907223619,5.021239694
RCC2_HUMAN,5.270884611,6.40172769,5.978331494,5.688805832,5.707472339
PSB2_HUMAN,6.497070353,6.691420744,6.344872065,6.81706216,6.705326243
CASP9_HUMAN,5.434879762,3.530664086,2.55243186,1.472607767,2.446931659
DDI2_HUMAN,4.722522667,5.059892907,4.85597117,5.909972393,5.158814249
QCR6_HUMAN,9.220029929,9.161574114,7.55279607,9.257391412,8.977883056
TR150_HUMAN,7.548924412,8.3509843,8.210658005,8.478458934,7.686169839
CA122_HUMAN,5.333973246,4.605010462,4.817812251,4.907839692,4.74912
EPHAA_HUMAN,-0.142594238,-0.149017584,-0.073839023,0.823066114,1.707509174
FHL3_HUMAN,1.008233722,3.314431069,4.504581664,2.322620315,3.479672775
RHBL2_HUMAN,1.011793961,3.089624857,0.931901956,-0.340850857,4.21584889
I5P2_HUMAN,3.367469476,3.883069752,3.380347677,3.78822535,3.912501261
F183A_HUMAN,0.069714109,-0.155374411,-0.025111469,1.627633712,-0.340850857
ZMYM4_HUMAN,5.6426481,6.203598677,6.309083014,6.603894461,6.269446668
UTP11_HUMAN,6.142757429,6.485335963,6.418270631,6.753844128,6.384348145
CA216_HUMAN,3.778196405,4.101664901,4.152668315,5.156743631,3.627356596
RLF_HUMAN,5.996278435,6.985059629,7.186527559,6.680697976,6.491007519
CLSPN_HUMAN,6.228117301,6.861709052,8.73299261,8.2669966,6.048929472
NOG2_HUMAN,5.821839444,6.390909708,7.136873722,7.693182831,7.26285034
MORN1_HUMAN,1.118030466,1.280721395,1.335755335,1.706905234,1.728378592
TTC22_HUMAN,-0.340850857,-0.340850857,-0.340850857,-0.340850857,2.066356599
MYCBP_HUMAN,4.813146185,4.890817283,3.228045962,5.416245192,5.236492429
RIMS3_HUMAN,1.708753045,2.44445606,1.547801337,3.132594671,0.007585212
ECHD2_HUMAN,4.034864739,3.621554819,5.279841809,4.410374926,5.012362965
RAB3B_HUMAN,4.858498194,7.19327551,6.321755638,3.744796865,3.709672528
SIM12_HUMAN,4.597594833,4.130995224,4.88883362,4.600450577,4.666441256
TMM61_HUMAN,1.416028476,0.358359982,0.462669512,-0.124300497,1.536271408
ERI3_HUMAN,3.107907079,2.969583883,2.653363597,3.590525308,2.721433678
CZIB_HUMAN,4.421783436,4.952495264,4.979588744,4.202390471,3.618172189
PODN_HUMAN,-0.340850857,-0.340850857,-0.054882178,-0.340850857,-0.340850857
OSBL9_HUMAN,6.322742474,6.652079242,6.160889925,6.357492813,6.442996347
CA210_HUMAN,-0.340850857,0.169977686,-0.340850857,-0.340850857,4.310472689
SYPM_HUMAN,2.597115651,3.150954129,2.738594469,3.255452981,3.582925564
ZY11A_HUMAN,0.209686206,2.574432195,1.3232005,3.18003922,-0.340850857
ZY11B_HUMAN,6.871354841,7.143471325,7.147373316,7.208925509,6.070141056
SF3A3_HUMAN,5.728970312,6.629383405,6.700366535,7.06802659,6.548971296
TTC4_HUMAN,1.348911869,2.282627514,2.653313793,1.960390123,1.256278363
PLPP3_HUMAN,4.830208356,5.496477915,3.712895421,2.590821954,3.643137825
SNIP1_HUMAN,4.146181665,4.886015453,5.656836043,4.843055472,4.719885699
CPT2_HUMAN,4.838951349,4.555113385,4.979036461,4.634708838,5.155422091
FOXJ3_HUMAN,4.717954071,5.691165223,6.050498047,6.036148047,5.678057211
TUT4_HUMAN,6.304357935,7.03475682,6.783437766,6.885391705,6.046448873
MGN_HUMAN,8.072090947,8.332617001,8.94967022,9.063217899,8.477557021
CDN2C_HUMAN,4.253780622,4.167202305,4.8223242,1.853312865,3.346899611
ZSWM5_HUMAN,1.82707094,0.176971809,-0.189046399,0.969151632,-0.125928928
OMA1_HUMAN,4.472018365,4.651192687,3.654664748,4.271403154,4.899358324
S35D1_HUMAN,4.794339189,4.879588982,5.043114423,4.395035277,3.448392204
LRP8_HUMAN,6.965668231,6.790177368,3.411662437,5.527189167,7.2197648
TEAN2_HUMAN,3.334073613,3.814779271,3.922765104,4.785858823,4.316918652
KTI12_HUMAN,2.499875066,2.971063848,2.928884683,2.64433684,2.68507367
LRC42_HUMAN,5.294977253,6.28483735,6.611239584,6.084532572,5.773821042
KANK4_HUMAN,-0.340850857,-0.149017584,2.096858963,-0.115236367,-0.340850857
UBP1_HUMAN,7.732838854,8.20234733,9.508799442,8.989191828,8.19040925
KAD5_HUMAN,0.214320456,2.410752962,-0.340850857,-0.340850857,-0.340850857
GIPC2_HUMAN,-0.340850857,-0.155374411,1.35999181,-0.340850857,2.993548017
AUXI_HUMAN,2.833880742,2.777026368,4.730789022,3.494551903,2.34885321
KAD4_HUMAN,3.977422122,5.977105758,6.947415178,6.685013832,6.067886695
OBRG_HUMAN,6.440247391,6.572054657,6.227242432,5.78174867,6.991745797
CAHD1_HUMAN,2.115275013,1.302367645,4.705185487,4.999959815,2.103414876
EFCB7_HUMAN,1.689036039,1.963533028,1.941153921,2.314544441,1.477856143
MCLN2_HUMAN,1.987790247,1.123029473,2.885181487,3.370172667,3.750132894
ATG4C_HUMAN,4.504815345,4.965301028,4.587931669,5.036904642,4.563787478
AGRL4_HUMAN,-0.340850857,-0.340850857,-0.183183322,-0.340850857,-0.340850857
MTF1_HUMAN,4.314220189,4.74359652,5.210514907,5.21182526,5.047547924
TTLL7_HUMAN,3.114894121,0.041086438,3.649898324,5.818414131,2.632754132
KDM4A_HUMAN,5.402842122,6.066466035,6.465532406,6.320565192,6.245912094
BCD1_HUMAN,6.020952976,5.971340481,6.23970541,6.828528118,6.953229654
PF2R_HUMAN,0.002012109,2.637869209,4.628540385,0.037721264,-0.137246653
LMO4_HUMAN,6.941398004,5.675190361,6.547829493,5.607140035,7.20295798
PR38A_HUMAN,6.152828534,6.655098617,7.949138387,7.003252024,6.922557576
GPI8_HUMAN,5.286891568,5.251774684,5.865794899,5.296525062,5.734031234
SIA7C_HUMAN,-0.142594238,1.826645445,-0.031378864,0.570144485,1.875409087
DOCK7_HUMAN,4.566059861,5.047636574,4.568511921,4.839054237,4.982158122
NEGR1_HUMAN,2.358843932,-0.340850857,4.241842176,0.465122517,2.155006902
FAAH1_HUMAN,-0.002622141,-0.155374411,-0.340850857,-0.340850857,1.441173296
KAT3_HUMAN,4.29279486,3.94153445,4.198691297,4.86041405,5.772620311
TDIF2_HUMAN,6.884789287,6.514034083,7.752505612,7.864573107,7.42638708
PTPRF_HUMAN,7.009545994,7.860070747,6.308018503,8.029600423,8.011883945
DHC24_HUMAN,6.935346981,5.845091868,7.008136216,5.063333101,8.886792604
COOA1_HUMAN,0.002012109,-0.340850857,-0.183183322,0.101313993,-0.340850857
GPX7_HUMAN,-0.340850857,-0.340850857,0.462669512,0.095614526,-0.340850857
CTL3_HUMAN,1.850809116,0.304133805,0.087161542,0.364440135,3.252262483
PKN2_HUMAN,6.608128672,6.849715642,7.608825171,7.540931202,7.798934551
ABCD3_HUMAN,6.082576078,4.788455194,5.735285054,5.221209486,5.859639123
ALG14_HUMAN,4.133217072,3.008351045,2.722794608,3.018771296,3.068195233
ZZZ3_HUMAN,5.427443608,6.397426131,6.735540834,6.040227381,6.617600824
YIPF1_HUMAN,4.043637477,4.196158685,3.747222481,4.19883795,3.828123691
CXB4_HUMAN,-0.12854251,-0.340850857,-0.340850857,-0.340850857,1.818493281
TM125_HUMAN,-0.340850857,-0.340850857,0.2000351,-0.115236367,6.619387812
DMTA2_HUMAN,0.130533758,-0.340850857,4.953318715,2.074482699,-0.137246653
ZEP3_HUMAN,1.144346218,2.16820393,1.239917257,3.179161036,3.127590552
TM2D1_HUMAN,6.858663783,6.693369288,7.026140182,7.325191869,7.318330158
SCP2_HUMAN,6.919958965,7.015053668,6.510460164,6.202074338,7.248172463
BCAR3_HUMAN,4.884936591,5.804625453,4.576369154,3.986344901,4.140598653
DMAP1_HUMAN,3.221295152,2.783442197,4.380824042,2.996694735,2.928141935
SAHH2_HUMAN,8.531971185,9.49697509,8.301682086,8.576747032,8.003670557
CNN3_HUMAN,4.726083585,4.899602198,6.31560659,3.597471458,5.201678154
VAV3_HUMAN,4.093226051,3.133165073,-0.340850857,2.575846414,5.041520274
DPYD_HUMAN,1.980891559,3.395453297,3.151770514,2.123672067,3.233353682
TLCD4_HUMAN,5.618871621,3.912435329,4.503054924,3.029678676,5.812598426
LRC8D_HUMAN,5.037387559,5.130281235,6.174307392,4.290841073,4.643396559
S1PR1_HUMAN,0.756346439,-0.340850857,-0.340850857,0.095614526,-0.340850857
ELAP1_HUMAN,0.538296985,0.496842635,-0.340850857,-0.340850857,-0.125928928
RHG29_HUMAN,5.979826905,6.475662415,7.795244603,6.403137453,8.181636258
PGM1_HUMAN,5.290027051,6.163640795,4.474252903,4.650687795,5.709920152
COA7_HUMAN,4.680171201,5.248711682,5.752080923,5.337951992,5.697453212
OLFL3_HUMAN,-0.340850857,2.870042002,-0.340850857,0.660854994,-0.340850857
GSH0_HUMAN,7.68763746,7.976052628,6.249212421,7.10725501,5.291573956
TGBR3_HUMAN,4.581078615,5.885575661,5.957514581,3.227804828,4.428605338
SZT2_HUMAN,3.25418928,3.184875152,3.330348769,3.533342509,3.42261347
PHTF1_HUMAN,4.146850976,4.276378407,4.479190664,4.499140757,2.75879023
TF_HUMAN,3.480339994,3.284206461,5.577352277,2.339408849,8.693965668
VCAM1_HUMAN,-0.12854251,2.344924172,-0.340850857,-0.340850857,-0.340850857
RWDD3_HUMAN,0.970528132,0.360081708,0.833348043,1.376951706,1.681708606
MA1A2_HUMAN,6.942782726,7.131997409,7.977708307,7.655609694,7.232112549
LPAR3_HUMAN,-0.139489332,1.764851043,-0.025111469,4.145441626,5.699773668
CT2NL_HUMAN,4.478769185,5.179534387,6.154800107,5.99597822,5.743012579
STRP1_HUMAN,5.268000487,5.068705529,6.392759675,6.067402693,4.921253485
SCMC1_HUMAN,6.445969157,6.141184626,6.853190385,6.341528848,6.726047797
TSN2_HUMAN,-0.340850857,2.467323044,1.801399557,1.252453967,3.407618829
LRIG2_HUMAN,2.787173899,2.382732283,3.799967654,3.389578982,2.826113632
S35A3_HUMAN,5.360952489,4.859256036,4.930845551,4.974301133,5.828474692
GDE_HUMAN,5.740566599,5.46086157,4.788211212,5.473930253,5.581105796
S6A17_HUMAN,0.762629027,1.018639743,-0.340850857,2.20271556,0.079179578
RNPC3_HUMAN,4.005864415,4.553849066,5.198488361,4.698081164,4.565815171
SNX7_HUMAN,5.903349402,5.543873073,5.13492748,4.498764131,5.086369828
ZNT7_HUMAN,4.918852337,4.497333912,5.008170772,4.861170923,5.596781321
SC22B_HUMAN,4.638499905,4.619449975,6.211301603,4.770032567,4.526445434
FPRP_HUMAN,5.535748819,2.100042026,4.672473103,2.912360678,4.706698462
SPF27_HUMAN,5.01361905,4.695159688,6.687411739,6.091362122,5.309274061
ZN326_HUMAN,6.399311049,6.251304478,6.810217541,7.00078286,6.648054032
TRI45_HUMAN,2.217652818,2.265160982,1.864671137,2.769901359,1.616230735
VANG1_HUMAN,5.202924143,5.255301233,5.088743173,5.755554329,5.103698341
TET5C_HUMAN,-0.340850857,0.86603864,0.087161542,-0.124300497,0.079179578
PI51A_HUMAN,5.81660354,5.718318069,7.068063341,7.056829565,5.669697048
GDAP2_HUMAN,4.224625988,3.721548126,4.894490666,4.629654027,3.605503916
WDR3_HUMAN,6.078164343,5.982898754,5.139934042,7.374735797,6.309179134
S22AF_HUMAN,0.7700245,-0.014861464,3.147682463,0.294975285,0.464060204
SCNM1_HUMAN,4.186772382,4.072369727,5.211132512,5.342138545,4.505335041
FILA_HUMAN,-0.340850857,-0.340850857,-0.340850857,1.252453967,-0.340850857
TRI33_HUMAN,5.915904668,5.951345279,6.539827942,7.16879094,6.507550083
CC14A_HUMAN,2.094576907,1.900387059,1.852841447,2.972534775,2.280373457
SRG2C_HUMAN,3.731802787,5.075935402,5.816411178,5.288471513,2.683703767
TTF2_HUMAN,5.542525185,5.854356461,6.18114735,5.333017058,5.844991416
MAGI3_HUMAN,4.540699201,5.395787017,5.94578838,4.153762035,4.923201478
GABP2_HUMAN,4.596741105,4.141869401,5.831477643,4.858946452,5.154653219
LYSM1_HUMAN,3.605820914,2.877848295,3.744187522,3.290677701,2.086828001
DEN2C_HUMAN,0.198739383,0.041086438,2.872489342,2.230795922,0.481300614
DEP1A_HUMAN,6.067955032,6.463613593,6.012784106,6.644196044,6.231686813
GPHRA_HUMAN,2.592520493,2.281053711,3.51381927,3.374245815,2.852469983
TF2B_HUMAN,4.22322714,3.926540242,4.492114518,4.309745036,5.120546761
TNFL4_HUMAN,0.198739383,-0.340850857,-0.031378864,-0.340850857,-0.340850857
CSF1_HUMAN,1.710252437,6.139778812,4.499442407,0.622419734,1.115839353
IGSF8_HUMAN,3.441842914,1.89329341,2.720828014,3.510243057,2.675306516
MPC2_HUMAN,6.520615831,6.336339265,6.568733039,5.225830477,6.453631361
CA112_HUMAN,3.833034654,3.808778529,4.571008883,3.467114075,4.209932855
LAMC1_HUMAN,6.961816208,7.593542518,6.665356279,6.50107852,7.342051778
MGST3_HUMAN,9.034034082,6.930096082,6.03450028,5.971988962,6.917760721
ILF2_HUMAN,7.100002685,7.101294959,5.418370188,8.47864742,6.824484553
TIPRL_HUMAN,7.414186868,7.39151362,6.936901356,7.009248818,6.807477648
NDK7_HUMAN,3.920650501,4.701366826,4.428741713,3.576958249,4.172467732
SFT2B_HUMAN,7.587778937,6.33620298,6.497855013,6.177919579,6.63831678
UCK2_HUMAN,4.698032403,4.992798679,4.465243629,4.28123316,4.592959614
PIGM_HUMAN,6.013388822,5.150192623,5.75356607,6.744395882,6.555946451
PO2F1_HUMAN,6.362610716,6.336666533,5.998618439,6.181845531,6.059517971
KIFA3_HUMAN,3.805688014,4.138296802,4.226876012,4.859737288,3.840019203
TPR_HUMAN,8.608107654,9.043518737,9.374696795,9.11698207,8.842232908
MET18_HUMAN,3.119284456,3.222145617,3.285705525,2.217263274,3.153790874
EXTL2_HUMAN,5.227599123,5.292669064,5.325940094,5.749868877,5.119138991
DDX59_HUMAN,5.325442567,4.837695397,3.906045468,4.770138526,4.191487169
NIBA1_HUMAN,2.120759394,4.195234005,7.08282385,4.540303486,2.982165029
LAMC2_HUMAN,4.223988705,5.015927891,1.080646294,1.31386583,8.122048038
LFA3_HUMAN,5.197692073,3.921354721,3.86947656,4.610174421,4.917299909
NUF2_HUMAN,6.334043387,6.872595282,7.076588602,6.400301829,5.970638059
MFD4A_HUMAN,0.869382171,-0.150746835,-0.019248392,0.962587834,2.654032126
TBX19_HUMAN,1.416028476,1.438105901,1.672656947,0.757497706,1.130838113
NR5A2_HUMAN,2.493491612,2.939199641,-0.340850857,3.411449118,3.286213182
PACE1_HUMAN,3.260479525,2.882586242,2.872656764,2.668624356,4.031033362
DUS10_HUMAN,0.611441993,1.556133113,0.318575506,1.027280426,3.513873173
NMNA2_HUMAN,1.940346055,-0.155374411,-0.340850857,1.674529928,0.005350317
TARB1_HUMAN,4.501390465,4.314413003,2.421586153,4.256840509,3.918233257
TDRD5_HUMAN,-0.142594238,-0.340850857,-0.340850857,1.791040839,-0.340850857
SCPDL_HUMAN,6.177483636,5.522207488,4.731825276,4.483349093,5.247794916
ELK4_HUMAN,5.653515683,6.064436135,6.30803482,5.521849539,6.673506165
TFB2M_HUMAN,3.043379925,2.932552805,2.257279246,2.941254757,2.239936283
LYPL1_HUMAN,4.836204433,5.476199803,4.026033538,4.470272102,5.269547383
MPZL1_HUMAN,7.025278443,6.470402131,6.26680948,6.2694726,6.484760361
INT7_HUMAN,4.39943431,4.04500566,4.62476067,3.792515577,4.371737724
PRDX6_HUMAN,8.01889465,7.800102271,6.845336024,7.499166281,7.821851447
EDAD_HUMAN,0.449433663,1.652658698,2.547592626,3.83053857,-0.340850857
BRNP3_HUMAN,-0.340850857,-0.340850857,-0.340850857,1.775902578,-0.340850857
GPTC2_HUMAN,4.972093203,5.15131898,6.239841547,5.232214708,5.39972873
SMYD2_HUMAN,5.750172033,5.596389722,4.245012009,5.669598372,5.653761988
LYAM1_HUMAN,-0.340850857,0.036458863,-0.340850857,-0.340850857,1.911296479
CAN8_HUMAN,1.644892159,-0.340850857,-0.340850857,-0.115236367,5.02339674
RHOU_HUMAN,5.105175722,1.197459369,0.773482037,2.556568707,3.143536836
RING2_HUMAN,4.858160492,5.208711002,4.532762642,5.010839113,4.771696301
RGS5_HUMAN,1.346261978,1.537158727,3.153169497,2.458021091,2.066940746
SPT17_HUMAN,1.772934187,2.793730151,1.372914306,2.765616425,2.999653468
PRRX1_HUMAN,-0.340850857,0.177847365,-0.176915927,4.659226036,1.031456349
NS1BP_HUMAN,6.642096083,6.959113635,6.319502978,7.505167419,6.821528214
DTL_HUMAN,6.27404779,6.186477919,7.509391228,6.4166759,5.867901696
TRM1L_HUMAN,6.035777193,5.735848464,5.28109915,5.025201723,5.208389497
SOAT1_HUMAN,6.145588342,5.679938146,4.993273389,5.124531274,7.068535454
BATF3_HUMAN,2.323015019,2.150933607,-0.031378864,2.479861277,-0.135742351
CNST_HUMAN,3.227297163,2.945936293,3.87427741,3.156338039,3.404079944
SOX13_HUMAN,1.819736294,1.900620128,1.029360271,3.050410608,2.518105404
NID1_HUMAN,0.069714109,1.732576452,4.784038465,1.427020998,4.114907332
ZN678_HUMAN,4.30844563,4.283615905,4.409752537,4.129862594,3.299177563
RT14_HUMAN,4.852879111,4.484555403,5.052711724,4.334961832,4.641222503
LHX9_HUMAN,5.308919796,0.036458863,-0.340850857,1.082611752,2.056614218
DESI2_HUMAN,5.649986938,5.369437646,6.237887079,5.299045848,5.064666585
S26A9_HUMAN,-0.139489332,-0.340850857,-0.340850857,-0.340850857,1.10201042
S45A3_HUMAN,3.74249353,2.269919398,0.399428386,2.904980698,6.257006885
KI26B_HUMAN,-0.340850857,-0.149017584,-0.340850857,1.573297988,-0.340850857
RRP15_HUMAN,6.694586013,5.784020259,6.287235017,6.86188577,6.828619579
TMM59_HUMAN,5.828740587,6.057583173,6.1769248,5.393995323,6.651104382
CYBP_HUMAN,7.899661211,7.582347716,7.92115454,7.556091066,8.312934006
PTN14_HUMAN,6.072162137,7.054953181,8.101796094,7.281246223,6.727501638
NEK2_HUMAN,6.233455267,6.429383386,5.911811204,6.266399051,5.991718912
CA053_HUMAN,2.883225917,1.107751032,0.254589814,1.077072809,1.613226495
RAB4A_HUMAN,6.327464197,6.210261632,5.378393765,5.660786211,6.184867119
TOM20_HUMAN,7.963205612,7.954679305,7.09045769,6.734264549,7.682668325
TADA1_HUMAN,5.965298071,6.065617122,6.44529878,5.651275273,5.379902237
DHX9_HUMAN,8.034340501,7.603518632,7.210667449,8.241842392,7.917655908
BT3L4_HUMAN,5.625511793,6.19003364,7.096006994,5.915844428,6.35931814
SWT1_HUMAN,2.934083783,2.595550368,3.033040187,2.483405732,1.991065603
FBX28_HUMAN,4.627081728,4.695054828,5.827864766,5.094994524,5.94976912
COP1_HUMAN,4.325570834,3.88025027,3.510466115,3.623795666,4.484387962
RGS18_HUMAN,-0.340850857,-0.340850857,-0.340850857,-0.340850857,-0.340850857
GNPAT_HUMAN,5.868832109,5.528383323,5.183022067,4.941548432,5.527782718
TGFB2_HUMAN,4.534644375,5.930715319,5.0547988,3.809387171,4.832804048
ODR4_HUMAN,5.974801875,5.660978004,6.211518623,5.541691934,6.45719676
FMO4_HUMAN,0.323513294,0.279575698,-0.183183322,1.453236847,1.907234594
NSL1_HUMAN,7.088526818,6.536128148,6.613913931,5.648003077,6.085214038
GALT2_HUMAN,6.767215159,5.920298684,5.332064823,4.897158055,6.299006789
SPRTN_HUMAN,4.664562006,4.026671673,4.668567467,4.38733504,4.224663384
EGLN1_HUMAN,1.872256648,0.554962639,-0.073839023,0.613897726,-0.135742351
GBG4_HUMAN,4.02313491,5.045967453,0.202368918,4.032620646,1.839639262
PAPP2_HUMAN,-0.340850857,-0.340850857,-0.176915927,-0.340850857,-0.135742351
LRRN2_HUMAN,2.974292289,1.827198268,-0.340850857,1.453959719,0.067861853
2A5A_HUMAN,6.600329168,6.268648919,5.979681061,5.93425124,6.823539002
SUCO_HUMAN,5.423583528,5.649944403,5.925527304,5.52211467,6.452206249
ATF3_HUMAN,2.84132465,1.282173151,5.130493417,3.773177252,2.754967597
RN5A_HUMAN,3.346515675,2.814988943,1.979795503,1.081045713,3.636443524
PLXA2_HUMAN,2.498782098,0.362448255,4.658399613,0.137934832,3.474105844
PA24A_HUMAN,5.618583195,0.632728006,-0.340850857,0.458250404,2.528341538
EKI2_HUMAN,0.214320456,2.264363802,2.841967378,1.455058558,1.139496959
LGAT1_HUMAN,8.272168703,6.652162132,6.454887813,5.599988316,6.375411147
F262_HUMAN,4.625278852,2.902692732,4.083769085,3.326620199,6.57135556
NENF_HUMAN,6.12642941,5.695068089,5.458100839,4.831017862,4.695378405
TATD3_HUMAN,5.222361617,4.589306076,4.893733562,3.938660813,3.879214668
ZN672_HUMAN,3.791623634,2.977716545,3.641415934,2.374610631,2.526196532
LAMB3_HUMAN,4.01409759,4.542239074,-0.054882178,-0.115236367,6.399261148
DUSTY_HUMAN,5.495135077,6.876409545,6.488155475,5.483725802,5.270862533
ARGAL_HUMAN,3.728891571,5.336537247,4.413908995,4.077672971,5.147860367
TSNAX_HUMAN,6.752093408,6.219690423,6.248282045,6.054379525,6.13612259
CAPON_HUMAN,2.703405583,-0.340850857,1.322518122,1.976944012,3.498216497
AMPB_HUMAN,6.563598536,6.184284853,4.299254108,4.712916998,5.487540221
ANGE2_HUMAN,5.405965349,5.331450694,5.20779208,4.837038199,5.196319904
K0040_HUMAN,3.827966895,0.168248435,3.549805134,1.958939552,4.881377431
EXOC8_HUMAN,4.875434005,5.139730893,5.301455754,4.886991077,4.658332831
NEK7_HUMAN,4.790135365,3.799116541,4.329364956,4.174852326,5.814390863
PGBD5_HUMAN,0.069714109,-0.149017584,-0.183183322,0.460940095,4.062499177
ZN695_HUMAN,0.945222449,1.194792478,2.44775888,1.976944012,2.459013291
KS6C1_HUMAN,4.096171816,3.914985135,4.5400228,4.021168785,3.687295156
TMCC2_HUMAN,1.915074387,2.794087375,2.741023606,1.396637613,-0.137246653
NU133_HUMAN,5.734566302,5.920086768,6.272087745,5.711526959,5.797643391
PGBD2_HUMAN,2.462839276,1.686639612,3.004410229,2.446373265,1.681537326
FLVC1_HUMAN,5.93671965,3.858439778,4.026564795,4.925038343,5.480716958
