Genes,GLC01,A549,BEAS,NCI-H23,CALU-3
PLAT3_HUMAN,7.214979473,7.909893834,6.964574719,5.161932645,9.880763021
WDR74_HUMAN,3.017027563,3.039570037,2.491653874,2.681686793,3.397854735
MARK2_HUMAN,5.156504858,3.896781237,5.196549621,4.370206274,5.238072899
PRS6A_HUMAN,6.181275808,6.029153031,6.433693424,6.361527669,6.19795256
MAP6_HUMAN,0.412577075,0.87859301,-0.340850857,2.305630143,-0.340850857
STA10_HUMAN,2.697248034,0.181140697,0.676232293,0.381411122,2.636614041
CASP4_HUMAN,3.730716925,3.340456844,5.295490985,1.679146757,5.741011184
CATAC_HUMAN,4.629688476,3.84762435,5.496434007,4.990486235,4.86291806
RS25_HUMAN,8.535780784,8.826199124,7.638602989,8.667819484,8.126699821
TPPC4_HUMAN,6.812434412,6.008953492,7.514557898,6.627826648,5.946715867
C2C2L_HUMAN,3.308352163,1.984079428,4.602401442,2.873869385,3.152798034
HINFP_HUMAN,1.880429208,2.024960601,3.112397571,2.34993021,2.076939959
NLRX1_HUMAN,2.644854409,1.363429919,2.171456845,0.607025612,1.306473136
MUC18_HUMAN,0.219596807,2.29356554,5.601116856,3.64935944,1.771815005
ARBK1_HUMAN,4.633962901,4.446455524,4.903937343,5.310556152,4.957830361
AN13D_HUMAN,2.606700224,1.782209276,1.866422151,3.884282544,2.156003897
SSH3_HUMAN,3.73574255,2.385237748,2.41754853,3.294083639,3.353674564
RAD9A_HUMAN,2.26093869,2.339063439,2.00396435,2.779378467,2.034184218
PITM1_HUMAN,2.631464884,2.168546401,1.31787216,2.574077006,2.263083993
CDKA2_HUMAN,7.771987393,5.575163206,6.172081047,6.618863493,5.933717874
GSTP1_HUMAN,10.89879524,9.76466931,7.548225921,10.80614249,9.420414598
NDUV1_HUMAN,5.807100334,5.569656248,4.726431025,6.661610367,5.420160968
NUDT8_HUMAN,2.950197759,1.195739441,-0.019248392,3.1703816,1.214539911
ACY3_HUMAN,1.404467239,-0.340850857,-0.340850857,-0.340850857,0.826993633
TRIM5_HUMAN,3.729830378,3.654499084,3.973080592,2.846655963,4.882899951
ARFP2_HUMAN,2.652974716,2.51107603,2.359768115,2.000037114,2.661794575
T10B_HUMAN,3.99897675,3.602820169,4.440610607,4.3112681,4.612712545
TPP1_HUMAN,5.507366299,5.338560751,6.442221668,4.899521737,5.606857195
FADS2_HUMAN,5.492179421,5.15112815,3.976323506,0.607025612,2.118863676
TR112_HUMAN,10.36252971,9.527831472,9.214169594,9.327714218,9.12907228
ZHANG_HUMAN,7.104387622,7.088896066,6.738072625,6.061117616,5.78576775
NR3L1_HUMAN,1.918123656,0.738555028,4.717878116,2.791032302,2.817768672
ZBT16_HUMAN,-0.139489332,-0.340850857,6.960734181,0.016085553,-0.340850857
USH1C_HUMAN,6.094836505,-0.340850857,-0.340850857,0.885915344,4.916495735
OLFL1_HUMAN,-0.340850857,-0.340850857,-0.340850857,-0.340850857,-0.340850857
LIPB2_HUMAN,3.573634843,3.427255818,0.709967763,2.1342427,5.396635251
NB5R2_HUMAN,0.219596807,0.958728745,-0.176915927,4.325905957,3.449484875
BUD13_HUMAN,3.747060961,3.844228444,5.00464098,4.271878619,3.320383616
ZPR1_HUMAN,4.375534738,3.986179974,4.733813526,5.391217082,4.581258262
SIK3_HUMAN,3.143241729,3.005623163,3.721695822,3.92880751,2.714530864
CCD87_HUMAN,0.105660348,1.1703851,-0.183183322,1.081045713,0.222507141
CCS_HUMAN,3.499401321,3.576750443,2.425171729,3.048167362,3.148484297
RBM14_HUMAN,4.577074528,3.875013993,3.605695657,4.274151831,4.140424729
RBM4_HUMAN,4.43412788,4.62181132,4.682405678,3.978653051,4.942860341
RBM4B_HUMAN,3.637666248,3.471519429,4.037112465,3.777297323,2.757773748
RHG32_HUMAN,4.421078085,3.708564938,4.598757063,3.771220309,5.347925973
ANO5_HUMAN,3.876084874,-0.155374411,-0.340850857,1.108548429,2.925177634
KCJ11_HUMAN,1.917496378,0.284203273,2.285182965,2.631181679,2.310865035
O51E1_HUMAN,2.462512221,-0.340850857,-0.340850857,-0.340850857,-0.340850857
AIP_HUMAN,4.168790338,4.069334453,3.542051303,5.198684323,3.865532471
NADE_HUMAN,3.916933522,4.22434168,2.54509803,3.586711013,3.532548252
ABCC8_HUMAN,0.219596807,0.605036204,-0.340850857,1.911962609,0.022082572
P52K_HUMAN,5.215994424,5.095388338,5.533887918,5.599612975,5.162154465
GVQW3_HUMAN,2.031151784,2.311536503,1.638318491,2.908763063,3.066472917
CTND1_HUMAN,4.466418928,4.640877158,3.901455008,3.857391902,5.77971132
O51E2_HUMAN,1.080754781,-0.340850857,-0.340850857,-0.340850857,-0.340850857
TS101_HUMAN,6.616401131,6.149154661,6.279527316,5.52655761,6.215387386
UEVLD_HUMAN,5.446453625,5.185694196,5.637059104,4.859287897,5.469782143
SPT2_HUMAN,5.918979023,5.822302241,6.014225044,5.453373338,6.466957672
CDN1C_HUMAN,2.475743789,3.588828275,3.4090336,1.520157252,2.195102663
ALKB3_HUMAN,4.091375436,3.207262424,4.776796476,3.626549885,3.374896087
1A1L1_HUMAN,4.098314236,3.939378695,0.879754011,2.35688319,2.744435937
ALX4_HUMAN,0.219596807,2.081966985,-0.340850857,1.359936437,-0.340850857
EXT2_HUMAN,5.08392836,4.448962027,4.654676722,3.867673352,4.209401618
F111A_HUMAN,6.659708727,6.473263955,8.63748732,6.252361249,7.498873209
SPTN2_HUMAN,2.898158903,1.963495489,1.407172402,1.798427608,4.214934988
