Genes,ccd,ccd,ccd
ALG6_HUMAN,3.555506503,2.905793422,2.880743328
PTPRC_HUMAN,1.039210356,1.302030179,0.736681169
DMBX1_HUMAN,-0.340850857,-0.340850857,-0.340850857
MSTO1_HUMAN,3.138254159,3.382337271,3.043004563
RORG_HUMAN,-0.340850857,-0.340850857,-0.340850857
CAN2_HUMAN,7.899107044,7.919814384,7.907766576
ASPP2_HUMAN,5.50794882,5.638591192,5.535469214
RGS2_HUMAN,8.252371649,7.56498709,7.979684956
HAX1_HUMAN,6.702393622,6.669302689,6.703869856
GLMP_HUMAN,5.742002629,5.70962515,5.589007087
CRBG2_HUMAN,-0.340850857,-0.340850857,-0.340850857
TTC13_HUMAN,2.831311907,2.905793422,3.442591307
ARV1_HUMAN,4.705984286,4.57513443,4.586391545
TM234_HUMAN,2.197285588,1.896423676,2.243366637
GA45A_HUMAN,7.067076698,7.200028985,7.162527281
GBG12_HUMAN,8.514450513,8.64435972,8.576457628
WLS_HUMAN,7.335493121,7.299322266,7.206011289
KCNN3_HUMAN,-0.340850857,-0.340850857,-0.340850857
TNR18_HUMAN,0.276696563,0.273361542,-0.340850857
B3GT6_HUMAN,5.598655786,5.721131403,5.589007087
UB2J2_HUMAN,6.61195892,6.69870036,6.66076457
SCNND_HUMAN,2.324234228,1.528472007,1.576029644
PKHO1_HUMAN,6.3611568,6.416784052,6.63554211
AN32E_HUMAN,6.447368493,6.669302689,6.654500175
APH1A_HUMAN,9.068647115,9.171321069,9.239456838
CA054_HUMAN,5.00026634,4.912781011,4.996146839
CIART_HUMAN,2.324234228,3.493865697,2.964153953
RT21_HUMAN,6.624349466,6.651372185,6.786399048
PRPF3_HUMAN,4.79636335,4.851279438,4.66328362
ACAP3_HUMAN,2.440909998,1.03330744,2.103204187
PUSL1_HUMAN,1.90399146,2.540552476,2.243366637
INT11_HUMAN,3.997825257,4.167552857,3.84593117
CPTP_HUMAN,1.90399146,3.439178937,2.243366637
DVL1_HUMAN,5.110069285,5.2190332,5.314896303
MXRA8_HUMAN,8.581120456,8.745014583,8.542936297
AKIP_HUMAN,5.660123452,5.721131403,5.750438041
TM222_HUMAN,2.058078915,2.734700525,1.576029644
SYTL1_HUMAN,-0.340850857,-0.340850857,-0.340850857
M3K6_HUMAN,1.90399146,2.540552476,2.792212717
VPS45_HUMAN,3.391210818,3.69397594,3.97219083
IL6RA_HUMAN,5.195590671,4.57513443,5.091977123
ACADM_HUMAN,5.972701808,6.010879243,5.852476956
ZBT18_HUMAN,5.244571276,5.498517826,5.216269525
TM201_HUMAN,2.440909998,2.822781781,2.792212717
CSTN1_HUMAN,8.0582637,8.115612783,8.069533296
CNBP1_HUMAN,5.056212193,5.297988572,5.110402335
LZIC_HUMAN,5.982360265,5.852491309,5.830417157
RN115_HUMAN,7.696914119,7.856011305,7.88654233
RPC3_HUMAN,4.682476281,4.696677503,4.996146839
PK3CD_HUMAN,4.558822407,4.32665626,4.955958374
NBPF9_HUMAN,2.058078915,1.724146699,1.773938675
NBPFC_HUMAN,2.197285588,2.316153655,0.736681169
VAMP3_HUMAN,7.062530936,7.020763211,6.92296413
PER3_HUMAN,2.440909998,2.540552476,2.880743328
TNR9_HUMAN,-0.340850857,-0.340850857,-0.340850857
PARK7_HUMAN,7.988088034,8.075835201,7.95695697
ERRFI_HUMAN,6.63050506,7.020763211,6.814765843
KCY_HUMAN,6.748403344,6.783461469,6.880653498
SRTD4_HUMAN,2.058078915,1.896423676,1.947944625
DPH2_HUMAN,3.391210818,3.19699711,3.84593117
JAK1_HUMAN,8.5342846,8.699205632,8.527593793
BCL10_HUMAN,5.63584974,5.626404571,5.78525909
UBE2T_HUMAN,3.270269458,3.32316388,4.050615098
NUAK2_HUMAN,3.555506503,3.646489942,3.755168893
LEMD1_HUMAN,-0.340850857,-0.340850857,-0.340850857
NICA_HUMAN,5.260535447,5.313274056,5.521768449
DAF_HUMAN,6.44037772,6.228060066,6.467048523
CR2_HUMAN,-0.340850857,-0.340850857,-0.340850857
SYT14_HUMAN,3.878761874,4.296208393,3.607329065
AGO1_HUMAN,5.819483326,5.721131403,5.535469214
AGO3_HUMAN,5.73058629,6.244100493,5.549041091
WNT9A_HUMAN,1.039210356,1.302030179,0.736681169
ARF1_HUMAN,9.50202196,9.490754748,9.544799406
PBX1_HUMAN,7.030303124,7.145562893,6.933350707
WDTC1_HUMAN,3.836785612,3.439178937,3.707552626
WASF2_HUMAN,7.383665026,7.529433754,7.256519027
NT2NB_HUMAN,1.039210356,1.528472007,0.296259822
FCRLB_HUMAN,1.535449415,1.302030179,1.346588607
TAF5L_HUMAN,4.839514696,4.851279438,5.091977123
NFIA_HUMAN,4.242510731,4.649281818,3.97219083
CREG1_HUMAN,3.555506503,3.32316388,3.658310983
CMTA1_HUMAN,5.78678548,5.810019882,5.773745205
CEPT1_HUMAN,5.611160618,5.662659888,5.906194369
UBIA1_HUMAN,4.423568075,4.062924054,4.263153899
MTOR_HUMAN,4.942063148,5.152602271,4.828204932
ZN687_HUMAN,2.548851742,2.432711588,3.043004563
PI4KB_HUMAN,3.448080482,3.597387599,3.84593117
RFX5_HUMAN,3.606361504,2.640889929,3.801263664
SBP1_HUMAN,4.142680453,3.058730152,3.755168893
PSB4_HUMAN,7.184691854,7.363138138,7.260649263
CING_HUMAN,0.276696563,-0.340850857,-0.340850857
TUFT1_HUMAN,4.88141277,4.787038881,4.612480248
POGZ_HUMAN,5.00026634,5.674545314,5.549041091
KS6A1_HUMAN,0.276696563,0.273361542,-0.340850857
DHDDS_HUMAN,4.335877864,4.57513443,4.914618239
TADBP_HUMAN,6.3611568,6.639293501,6.63554211
NEXN_HUMAN,10.52207955,10.41001793,10.44043479
DNJB4_HUMAN,6.919037786,7.048429788,6.92296413
FUBP1_HUMAN,8.270222798,8.208465476,8.180512096
INT3_HUMAN,3.067421454,3.382337271,3.321290704
S27A3_HUMAN,3.555506503,3.869680593,3.97219083
P66B_HUMAN,5.672108852,5.698026389,5.640629075
KCND3_HUMAN,1.308561741,1.302030179,1.773938675
KCNH1_HUMAN,0.276696563,1.896423676,1.947944625
GBB1_HUMAN,9.00255111,9.101502265,9.162082058
GSTM4_HUMAN,3.606361504,3.910455573,3.383215487
GSTM2_HUMAN,1.535449415,1.896423676,1.773938675
GSTM5_HUMAN,4.176730561,3.950109733,2.596971191
GSTM3_HUMAN,7.011558755,6.69870036,6.63554211
ES8L3_HUMAN,-0.340850857,-0.340850857,0.296259822
CE170_HUMAN,7.102936183,7.359461396,7.11313064
K1614_HUMAN,3.448080482,3.32316388,3.188847197
PCSK9_HUMAN,-0.340850857,-0.340850857,-0.340850857
UBP24_HUMAN,4.79636335,5.401734501,5.054405362
RAVR2_HUMAN,2.324234228,1.724146699,2.964153953
ODF2L_HUMAN,5.819483326,5.430055693,5.615048958
KIRR1_HUMAN,4.81810035,5.009793423,4.850298325
CD1D_HUMAN,-0.340850857,-0.340850857,1.346588607
ENOA_HUMAN,8.917005629,9.144866027,9.049619364
RERE_HUMAN,7.590421155,7.937184974,7.695347812
RIT1_HUMAN,5.933408086,5.82075553,5.88494681
HNRPU_HUMAN,8.991832422,9.162908119,8.906711277
MINT_HUMAN,5.923415127,6.228060066,5.562486483
FAP20_HUMAN,3.836785612,4.32665626,4.160794884
SKI_HUMAN,6.419199826,6.766902961,6.563816696
WDR26_HUMAN,7.016267728,6.939364387,6.917742665
MYOME_HUMAN,5.212103,5.614114132,5.298919648
KDM5B_HUMAN,6.836241815,6.958934334,6.727935274
MYPT2_HUMAN,6.261553295,6.704508688,6.516243793
XYLK_HUMAN,6.171545716,6.306536115,6.38618398
TOR3A_HUMAN,4.922128321,4.719803957,4.559822371
ABL2_HUMAN,6.898779985,7.170956833,6.825958209
GPR3_HUMAN,0.707754626,0.70280457,0.296259822
IFFO2_HUMAN,4.729115373,4.649281818,4.638105547
HES2_HUMAN,0.707754626,-0.340850857,0.736681169
TOIP2_HUMAN,8.423433415,8.429723362,8.496410452
TOIP1_HUMAN,6.102368201,6.170471042,6.192243311
QSOX1_HUMAN,10.9006671,10.77166111,10.7712741
LHX4_HUMAN,0.707754626,1.03330744,-0.340850857
SHLB1_HUMAN,7.89143817,7.929766031,7.856839592
TPM3_HUMAN,8.39116791,8.433225543,8.335389618
CLIC4_HUMAN,10.03082557,10.12827943,10.10992476
SRRM1_HUMAN,8.051397762,7.699037227,7.848631575
AT2B4_HUMAN,9.111086596,9.399710115,9.159872387
HNRPR_HUMAN,7.779560117,7.627466839,7.76387589
CAPZB_HUMAN,8.222119939,8.299544429,8.275418689
MIC10_HUMAN,5.742002629,5.538088033,5.738641721
NBL1_HUMAN,4.981124996,4.952372173,4.559822371
RUNX3_HUMAN,3.655484737,3.546554987,3.93131984
CDC42_HUMAN,3.205771307,2.734700525,2.103204187
FMOD_HUMAN,2.74316339,1.896423676,1.073627923
FMO5_HUMAN,1.535449415,0.273361542,0.296259822
CHD1L_HUMAN,0.276696563,2.050305593,-0.340850857
SPAT6_HUMAN,3.067421454,2.905793422,3.188847197
COBA1_HUMAN,5.830219972,5.297988572,5.665763526
CE350_HUMAN,6.883397749,7.59656517,7.004035423
RGS4_HUMAN,1.731456765,2.432711588,1.073627923
EPS15_HUMAN,6.145991285,6.029508837,6.084530242
UBX10_HUMAN,-0.340850857,-0.340850857,-0.340850857
PHC2_HUMAN,5.521261381,5.674545314,5.377090317
EPB41_HUMAN,2.74316339,2.640889929,2.697892218
BTG2_HUMAN,4.423568075,4.649281818,4.532754694
TPC12_HUMAN,3.702990274,4.200808238,3.554479343
MTND_HUMAN,7.609244432,7.67852675,7.798377937
COL11_HUMAN,1.039210356,0.70280457,-0.340850857
RNH1_HUMAN,7.285657018,7.366805535,7.325173847
TMM18_HUMAN,6.179964252,6.373690505,6.316475426
RS7_HUMAN,8.626483515,8.36151376,8.491147064
SMC6_HUMAN,7.025639814,6.97343953,6.96406917
LRAT1_HUMAN,1.308561741,2.316153655,0.736681169
ASAP2_HUMAN,6.776431683,6.924510723,6.786399048
ECHA_HUMAN,7.599863493,7.66071123,7.620190634
SOX11_HUMAN,4.142680453,3.439178937,4.295720941
OSR1_HUMAN,3.702990274,3.988703045,3.707552626
TTC32_HUMAN,2.74316339,2.432711588,2.103204187
DPYL5_HUMAN,-0.340850857,-0.340850857,-0.340850857
EFR3B_HUMAN,-0.340850857,0.273361542,0.736681169
GREB1_HUMAN,0.276696563,-0.340850857,0.296259822
GEN_HUMAN,3.332007084,3.382337271,3.658310983
CP1B1_HUMAN,9.195511816,8.956925161,8.901430547
LDAH_HUMAN,3.332007084,3.32316388,2.964153953
MATN3_HUMAN,4.142680453,2.540552476,3.755168893
H1BP3_HUMAN,3.138254159,3.058730152,3.707552626
ATD2B_HUMAN,4.209995522,4.764973571,4.011935787
SRBD1_HUMAN,4.27430924,4.742565535,4.124995154
CAN13_HUMAN,-0.340850857,-0.340850857,-0.340850857
LTBP1_HUMAN,10.0861808,10.1687581,9.986307328
MSH2_HUMAN,4.142680453,4.133512788,4.532754694
GDF7_HUMAN,-0.340850857,-0.340850857,-0.340850857
XDH_HUMAN,1.308561741,1.528472007,1.073627923
KPCE_HUMAN,4.961726271,4.549546903,5.181836486
KCNG3_HUMAN,-0.340850857,-0.340850857,-0.340850857
STRN_HUMAN,5.611160618,5.343367585,5.702662758
CENPA_HUMAN,1.90399146,1.03330744,0.736681169
FBLN3_HUMAN,9.333970769,9.102602397,9.312892226
EHD3_HUMAN,4.81810035,4.742565535,4.782976469
PAPOG_HUMAN,4.209995522,4.523497352,4.389230572
ECHB_HUMAN,7.229989313,7.260421112,7.028463531
FEZ2_HUMAN,7.782327232,7.526157761,7.686164511
SLC31_HUMAN,0.276696563,-0.340850857,-0.340850857
ANXA4_HUMAN,6.05738484,6.187160953,6.06576945
FRITZ_HUMAN,2.548851742,3.058730152,3.188847197
COX7R_HUMAN,6.948900923,7.04385538,7.103964854
SFXN5_HUMAN,2.197285588,2.316153655,2.596971191
ZN638_HUMAN,6.903871165,7.039266421,6.780658138
ATLA2_HUMAN,4.107807238,3.646489942,4.160794884
P4R3B_HUMAN,6.561304344,6.847858013,6.66076457
UBP34_HUMAN,7.213681591,7.602798682,7.144759937
ETAA1_HUMAN,4.729115373,4.673174283,5.035246068
LBH_HUMAN,9.385836158,9.331908889,9.482507698
DAA10_HUMAN,5.307394649,5.100691348,5.110402335
TIKI1_HUMAN,6.30068032,5.810019882,6.292470111
EVA1A_HUMAN,3.702990274,3.32316388,2.880743328
HNRLL_HUMAN,6.038991282,5.913942326,5.86338164
PNO1_HUMAN,4.365704095,4.385689469,4.782976469
PNPT1_HUMAN,4.609562686,4.932712398,4.638105547
SIX2_HUMAN,-0.340850857,-0.340850857,-0.340850857
SIX3_HUMAN,-0.340850857,-0.340850857,-0.340850857
S35F6_HUMAN,5.63584974,5.444010494,5.615048958
DPOE4_HUMAN,5.307394649,5.343367585,4.976192541
GEMI6_HUMAN,3.606361504,3.19699711,3.383215487
ASB3_HUMAN,5.861958658,6.010879243,6.370981663
EPAS1_HUMAN,10.42935284,10.32160736,10.40355644
CMKMT_HUMAN,1.535449415,2.640889929,2.103204187
RFIP5_HUMAN,6.54184076,6.485863978,6.495365176
ADDB_HUMAN,-0.340850857,-0.340850857,-0.340850857
KCMF1_HUMAN,6.454325554,6.451737441,6.393725485
BC11A_HUMAN,0.276696563,0.70280457,-0.340850857
TYB10_HUMAN,10.01208803,10.06816727,9.908817434
RM19_HUMAN,5.019157042,5.046842629,5.266425551
PAI2B_HUMAN,-0.340850857,0.273361542,0.296259822
CND2_HUMAN,2.058078915,2.432711588,2.243366637
PKDCC_HUMAN,6.171545716,6.136500573,6.268058599
TF7L1_HUMAN,5.161987989,5.202710033,5.164306799
HXK2_HUMAN,5.494512272,5.415964591,5.521768449
GLT14_HUMAN,-0.340850857,-0.340850857,-0.340850857
CNO11_HUMAN,6.221335462,6.283438239,6.234853778
PPM1B_HUMAN,5.63584974,5.343367585,5.562486483
RT09_HUMAN,5.50794882,5.626404571,5.361791361
YPEL5_HUMAN,7.461692141,7.410102166,7.460595942
SL9A2_HUMAN,-0.340850857,-0.340850857,-0.340850857
RL31_HUMAN,10.7056494,10.57366499,10.58496335
TM131_HUMAN,6.154559821,6.596203502,6.438164936
ASHWN_HUMAN,5.830219972,4.742565535,5.422037202
RN149_HUMAN,4.79636335,5.028436953,5.266425551
GCFC2_HUMAN,2.649276492,2.822781781,2.880743328
LAP4A_HUMAN,11.9835752,11.79925359,11.82337164
MEIS1_HUMAN,5.808666177,5.766260118,5.895609705
KRCC1_HUMAN,5.872384931,6.119210595,6.056296767
F110C_HUMAN,-0.340850857,-0.340850857,-0.340850857
OTX1_HUMAN,-0.340850857,-0.340850857,-0.340850857
UBX2A_HUMAN,6.154559821,6.344229323,6.355617444
TGFA_HUMAN,-0.340850857,-0.340850857,-0.340850857
SRSF7_HUMAN,7.748766329,7.666674215,7.786968689
NEUL3_HUMAN,-0.340850857,-0.340850857,-0.340850857
F166C_HUMAN,-0.340850857,-0.340850857,-0.340850857
PPR21_HUMAN,4.335877864,4.296208393,4.088284418
TSG10_HUMAN,1.039210356,1.03330744,1.576029644
MFSD9_HUMAN,2.74316339,2.189344518,2.964153953
IL1B_HUMAN,3.138254159,2.540552476,3.117768007
CRIM1_HUMAN,10.28267876,10.37675687,10.51580466
SUCA_HUMAN,6.660895123,6.479102945,6.308517953
EMAL4_HUMAN,7.246114756,7.399399214,7.201721396
SH3R3_HUMAN,3.502793157,4.167552857,3.84593117
CIAO1_HUMAN,5.933408086,5.903880544,5.84148922
TM182_HUMAN,2.324234228,2.432711588,1.773938675
COA5_HUMAN,5.276324897,4.57513443,5.054405362
GALM_HUMAN,4.584415605,4.414324272,4.66328362
LYPD1_HUMAN,5.840877304,5.799203747,5.88494681
DUS2_HUMAN,-0.340850857,-0.340850857,-0.340850857
ARP3_HUMAN,8.101005232,8.352293865,8.19137089
DDX18_HUMAN,7.461692141,7.256472677,7.252376933
NXPH2_HUMAN,-0.340850857,-0.340850857,-0.340850857
RDH14_HUMAN,5.808666177,5.343367585,5.773745205
HME1_HUMAN,0.276696563,-0.340850857,-0.340850857
CC148_HUMAN,1.308561741,1.528472007,0.736681169
CB076_HUMAN,3.138254159,3.32316388,2.880743328
SPRE_HUMAN,3.878761874,3.19699711,3.321290704
M3K20_HUMAN,7.886302847,7.707738947,7.648835351
H6ST1_HUMAN,6.3611568,6.075056772,6.347873537
T185B_HUMAN,5.521261381,5.37284619,5.330697966
SWAHC_HUMAN,4.47920045,4.742565535,4.586391545
NCK2_HUMAN,5.439478567,5.266923,5.507936324
MGT4A_HUMAN,-0.340850857,-0.340850857,0.296259822
NPAS2_HUMAN,4.558822407,4.696677503,4.389230572
FHL2_HUMAN,8.547357438,8.566767115,8.586364006
PTN4_HUMAN,4.27430924,4.296208393,4.160794884
U520_HUMAN,6.397706416,6.645345484,6.583734467
IMP4_HUMAN,4.47920045,4.549546903,4.828204932
LRP1B_HUMAN,-0.340850857,-0.340850857,-0.340850857
TM177_HUMAN,2.914383283,3.597387599,3.383215487
GLT13_HUMAN,-0.340850857,-0.340850857,-0.340850857
HAT1_HUMAN,5.212103,4.912781011,5.422037202
PTN18_HUMAN,3.748981272,4.026290794,3.84593117
TGFA1_HUMAN,4.365704095,4.32665626,4.612480248
ST17B_HUMAN,6.038991282,6.145068474,6.217960311
MGT5A_HUMAN,8.256357703,8.143673928,8.258996283
SYFB_HUMAN,4.729115373,4.97176764,4.996146839
HNMT_HUMAN,4.27430924,3.546554987,4.160794884
DNER_HUMAN,3.655484737,2.189344518,3.707552626
MCM6_HUMAN,4.142680453,3.988703045,4.229834685
CSN8_HUMAN,6.61195892,6.89433658,6.831521998
RPGF4_HUMAN,0.707754626,1.528472007,1.346588607
SEP10_HUMAN,6.502107669,6.69870036,6.622763568
MAP12_HUMAN,1.039210356,2.050305593,1.773938675
FIGN_HUMAN,2.548851742,3.69397594,3.188847197
ADA23_HUMAN,-0.340850857,0.70280457,-0.340850857
SPOPL_HUMAN,4.532766978,4.719803957,4.358729203
GALT5_HUMAN,11.53836171,11.42836626,11.43706258
TM163_HUMAN,-0.340850857,-0.340850857,-0.340850857
CWC22_HUMAN,6.346273683,6.0660615,6.148335928
HECW2_HUMAN,3.997825257,4.414324272,4.229834685
SPRE2_HUMAN,3.959219041,4.296208393,4.295720941
RFTN2_HUMAN,2.440909998,2.316153655,2.103204187
INHBB_HUMAN,4.584415605,4.600276035,4.612480248
LNP_HUMAN,6.883397749,6.992555681,6.953902184
CSRN3_HUMAN,-0.340850857,0.273361542,-0.340850857
DLX1_HUMAN,-0.340850857,0.273361542,1.073627923
RALB_HUMAN,6.145991285,6.275656031,6.093819937
ARL4C_HUMAN,6.292939348,6.512595645,6.324389248
SMYD5_HUMAN,2.058078915,2.189344518,2.488455847
MDH1B_HUMAN,-0.340850857,-0.340850857,-0.340850857
BARD1_HUMAN,4.860615825,4.549546903,4.586391545
DLX2_HUMAN,-0.340850857,-0.340850857,-0.340850857
UB2E3_HUMAN,7.201328678,7.232552406,7.214552998
LY75_HUMAN,-0.340850857,-0.340850857,-0.340850857
PECR_HUMAN,2.197285588,3.32316388,3.321290704
ACADL_HUMAN,-0.340850857,-0.340850857,-0.340850857
ITPI2_HUMAN,6.702393622,6.738875983,6.488337947
DYH7_HUMAN,-0.340850857,0.273361542,-0.340850857
FYV1_HUMAN,5.695785014,5.873267174,5.906194369
E41L5_HUMAN,4.922128321,5.152602271,4.996146839
TM169_HUMAN,0.276696563,0.70280457,1.073627923
GLPC_HUMAN,6.05738484,6.119210595,5.968121624
ITB6_HUMAN,-0.340850857,-0.340850857,-0.340850857
APC1_HUMAN,1.90399146,2.050305593,2.488455847
PDCL3_HUMAN,3.138254159,2.984287397,2.964153953
SGPP2_HUMAN,-0.340850857,-0.340850857,-0.340850857
TWST2_HUMAN,6.119976033,6.336769055,6.157224959
CRCDL_HUMAN,-0.340850857,-0.340850857,-0.340850857
TANC1_HUMAN,6.128700012,6.101710889,6.209438812
STEA3_HUMAN,3.391210818,3.784501481,3.043004563
TEFF2_HUMAN,2.058078915,1.896423676,2.596971191
PLA2R_HUMAN,3.555506503,2.984287397,3.442591307
ABCAC_HUMAN,-0.340850857,-0.340850857,-0.340850857
IN80D_HUMAN,4.942063148,5.903880544,5.216269525
FAKD2_HUMAN,5.00026634,4.872072638,4.872058478
XRCC5_HUMAN,8.661473606,8.64435972,8.63011971
PO3F3_HUMAN,-0.340850857,-0.340850857,-0.340850857
CYTIP_HUMAN,-0.340850857,-0.340850857,0.736681169
TANK_HUMAN,5.742002629,5.415964591,5.507936324
ANR44_HUMAN,3.332007084,3.32316388,4.124995154
SMAKA_HUMAN,0.707754626,0.273361542,0.296259822
PSDE_HUMAN,6.433352907,6.43785754,6.481276322
SH3B4_HUMAN,7.129257722,7.252513406,7.122238562
ITM2C_HUMAN,6.269464053,5.841990093,6.130391853
TLK1_HUMAN,7.790596874,7.786519882,7.76387589
MTEF4_HUMAN,4.506232312,4.442401772,3.97219083
S39AA_HUMAN,8.148963488,7.827018545,8.147436539
TFPI1_HUMAN,9.650253925,9.380790839,9.613421527
GPR39_HUMAN,-0.340850857,0.70280457,-0.340850857
BOK_HUMAN,4.072070133,4.233314293,4.229834685
CC115_HUMAN,6.048217374,6.314153953,6.027499716
S2512_HUMAN,2.992930665,3.26145925,2.880743328
OSBL6_HUMAN,2.324234228,3.19699711,2.697892218
UGGG1_HUMAN,6.798468778,7.252513406,6.774894293
PADC1_HUMAN,3.205771307,3.058730152,2.596971191
ACKR3_HUMAN,1.535449415,2.316153655,2.243366637
KTHY_HUMAN,3.655484737,3.382337271,4.19572773
CD302_HUMAN,4.209995522,4.098650102,3.93131984
KAL1L_HUMAN,2.992930665,2.905793422,3.256588254
CANB1_HUMAN,8.62340041,8.726579768,8.743655423
RBM43_HUMAN,5.494512272,5.343367585,5.216269525
SP100_HUMAN,7.085117852,7.162541753,6.958994633
ZRAB3_HUMAN,3.606361504,3.546554987,3.188847197
ASB1_HUMAN,5.913352468,5.933857786,5.968121624
MREG_HUMAN,0.276696563,1.528472007,0.736681169
TMM17_HUMAN,3.332007084,2.316153655,2.488455847
SPS2L_HUMAN,8.437545227,8.496527984,8.48762744
MARH4_HUMAN,4.79636335,4.892570403,4.612480248
PKHM3_HUMAN,4.532766978,4.787038881,4.477046462
SHIP1_HUMAN,0.276696563,0.273361542,-0.340850857
S35F5_HUMAN,7.197187424,7.295479015,7.166935137
B3GN2_HUMAN,5.352779607,5.430055693,5.330697966
PP1R7_HUMAN,5.611160618,5.401734501,5.392228736
CCD93_HUMAN,5.161987989,5.100691348,4.872058478
MTX2_HUMAN,6.245600446,6.136500573,6.192243311
WDR75_HUMAN,4.682476281,4.990905811,4.893495293
FARP2_HUMAN,5.092339378,5.065016442,4.996146839
KCNS3_HUMAN,-0.340850857,0.273361542,0.296259822
SNED1_HUMAN,2.058078915,1.302030179,2.103204187
D2HDH_HUMAN,2.914383283,3.646489942,3.554479343
CCGL_HUMAN,-0.340850857,-0.340850857,0.296259822
MARH7_HUMAN,7.08062867,7.025411309,7.158105916
CO5A2_HUMAN,9.850747485,9.779209199,9.781658835
STK25_HUMAN,7.209575695,7.115360409,6.96406917
ATG4B_HUMAN,5.382261976,5.444010494,5.330697966
MYO1B_HUMAN,8.7880222,8.604532688,8.719852971
SEPT2_HUMAN,8.697102218,8.736535468,8.79866043
KCNF1_HUMAN,2.058078915,1.03330744,1.576029644
S66A3_HUMAN,5.753329338,5.972882448,5.773745205
E2F6_HUMAN,3.067421454,3.439178937,2.964153953
GPDM_HUMAN,6.102368201,6.314153953,5.957983257
NAB1_HUMAN,5.480949404,5.401734501,5.521768449
STAT4_HUMAN,0.276696563,-0.340850857,0.296259822
VATE2_HUMAN,2.440909998,2.540552476,2.697892218
RHOQ_HUMAN,8.461913546,8.481383812,8.349031284
PIGF_HUMAN,4.035425247,4.026290794,4.011935787
CRIPT_HUMAN,5.144888518,5.358182178,5.164306799
UD19_HUMAN,-0.340850857,-0.340850857,-0.340850857
UD16_HUMAN,-0.340850857,-0.340850857,-0.340850857
UD11_HUMAN,-0.340850857,-0.340850857,-0.340850857
HJURP_HUMAN,3.270269458,3.493865697,3.383215487
F168B_HUMAN,5.611160618,5.662659888,5.549041091
HTR5B_HUMAN,3.836785612,4.32665626,3.97219083
CEBOS_HUMAN,6.001485334,6.153585791,6.037162741
CEBPZ_HUMAN,6.929061006,6.733204653,6.837064414
NDUF7_HUMAN,4.176730561,3.646489942,4.419100412
KPCD3_HUMAN,6.30068032,6.244100493,6.276241751
QPCT_HUMAN,3.555506503,2.905793422,3.442591307
BORG2_HUMAN,8.367407926,8.593619477,8.415369322
RAPH1_HUMAN,5.923415127,6.001473451,5.653251036
WDR54_HUMAN,4.142680453,3.646489942,4.19572773
IN80B_HUMAN,1.535449415,1.03330744,2.103204187
CC142_HUMAN,2.324234228,1.528472007,3.383215487
TTC31_HUMAN,3.205771307,3.32316388,3.321290704
PCGF1_HUMAN,1.039210356,2.050305593,2.371109553
AUP1_HUMAN,6.128700012,5.992005934,5.968121624
PUR9_HUMAN,5.903219129,5.471521566,6.017771533
SPC25_HUMAN,1.039210356,1.724146699,1.346588607
ABCBB_HUMAN,-0.340850857,-0.340850857,-0.340850857
LRP2_HUMAN,-0.340850857,-0.340850857,-0.340850857
Z804A_HUMAN,4.47920045,3.950109733,3.97219083
CO3A1_HUMAN,11.32079931,11.01280837,11.18931188
PTCD3_HUMAN,6.001485334,5.82075553,6.007977305
RM35_HUMAN,4.558822407,4.912781011,5.110402335
KDM3A_HUMAN,5.037803583,5.266923,4.976192541
SCLY_HUMAN,1.039210356,1.528472007,1.073627923
ESPNL_HUMAN,2.324234228,2.734700525,2.243366637
ERFE_HUMAN,2.440909998,2.734700525,3.321290704
ILKAP_HUMAN,4.365704095,4.167552857,3.256588254
HES6_HUMAN,2.058078915,1.896423676,1.947944625
PER2_HUMAN,1.90399146,2.540552476,2.371109553
MIPT3_HUMAN,5.991954491,6.170471042,6.06576945
PDE6D_HUMAN,3.270269458,3.382337271,3.84593117
DI3L2_HUMAN,3.138254159,3.439178937,3.321290704
ECEL1_HUMAN,-0.340850857,-0.340850857,-0.340850857
VPS54_HUMAN,4.532766978,4.649281818,4.327569023
PELI1_HUMAN,2.548851742,2.822781781,3.043004563
MZT2A_HUMAN,4.47920045,4.356474789,4.559822371
ARHG4_HUMAN,1.039210356,-0.340850857,1.073627923
INP4A_HUMAN,4.107807238,4.133512788,3.707552626
RMD2_HUMAN,4.584415605,4.600276035,4.872058478
PPCEL_HUMAN,7.266021357,7.522874312,7.390709407
FAH2B_HUMAN,0.707754626,0.273361542,1.346588607
PDK1_HUMAN,4.922128321,5.046842629,5.164306799
S40A1_HUMAN,5.547523548,4.808771789,5.493970295
PASK_HUMAN,1.039210356,1.302030179,0.736681169
EXC6B_HUMAN,5.775719415,5.732546614,5.819259463
TM127_HUMAN,5.840877304,5.893748094,5.762138689
ING5_HUMAN,3.997825257,3.827719585,4.19572773
PAX3_HUMAN,-0.340850857,-0.340850857,-0.340850857
CB072_HUMAN,-0.340850857,-0.340850857,0.296259822
B3GN7_HUMAN,1.039210356,-0.340850857,-0.340850857
RNPL1_HUMAN,4.584415605,4.624986996,4.358729203
CAN10_HUMAN,2.649276492,2.189344518,2.103204187
MB214_HUMAN,-0.340850857,-0.340850857,-0.340850857
WN10A_HUMAN,-0.340850857,-0.340850857,-0.340850857
CD5R2_HUMAN,-0.340850857,-0.340850857,-0.340850857
IHH_HUMAN,-0.340850857,-0.340850857,-0.340850857
S23A3_HUMAN,0.276696563,-0.340850857,-0.340850857
