HM_starts,HM_ends
5_4_0_0,5_4_1_1
5_4_1_1,5_4_2_1
5_4_2_1,5_4_3_1
6_5_0_0,6_5_1_1
6_5_1_1,6_5_2_1
6_5_2_1,6_5_3_1
6_5_3_1,6_5_4_1
7_6_0_0,7_6_1_1
7_6_1_1,7_6_2_1
7_6_2_1,7_6_3_1
7_6_3_1,7_6_4_1
7_6_4_1,7_6_5_1
