Genes,5_4_1_0,5_4_2_0,5_4_3_0,6_5_1_0,6_5_2_0,6_5_3_0,6_5_4_0,7_6_1_0,7_6_2_0,7_6_3_0,7_6_4_0,7_6_5_0
FUT1_HUMAN,-0.541807658,0.862817556,0.376085914,-0.622193671,0.777134549,0.506262178,-0.131654196,-0.90456589,0.645557276,0.33404462,0.344923074,-0.128500455
FUT10_HUMAN,-0.548632596,0.144267804,0.899507557,-0.657451325,0.848905631,0.868792633,0.547608183,-0.267751927,0.974434965,0.886515371,0.902700765,0.533049468
FUT11_HUMAN,0.399104313,-0.018986585,-0.684084967,0.614268293,-0.512933644,-0.405822938,-0.696449957,0.065778054,-0.450729473,-0.502146197,-0.439247128,-0.420133432
FUT2_HUMAN,-0.74523692,-0.1414462,0.953619858,-0.757688069,0.84160886,0.975219114,0.703603592,-0.170830877,0.893313042,0.996613509,0.998115695,0.823386968
FUT3_HUMAN,-0.748165729,-0.202555269,0.953363869,-0.754876934,0.814940706,0.964623017,0.739537263,-0.125242375,0.859505797,0.996214753,0.993094704,0.861151802
FUT4_HUMAN,-0.454240314,-0.361377318,0.872677252,-0.480806446,0.612803563,0.831731692,0.720117931,0.152521449,0.809856337,0.925473451,0.942677177,0.795612573
FUT8_HUMAN,-0.680800562,-0.571713947,0.824044371,-0.648171742,0.535587095,0.766406811,0.878581413,0.17968943,0.516602538,0.858277231,0.823201135,0.996409716
FUT9_HUMAN,-0.706194539,-0.174667431,0.970925563,-0.740028366,0.82068314,0.955756012,0.747257063,-0.113803134,0.890976052,0.998011083,0.99659445,0.830689084
