node_id,image_path,label_text
9_2_0_0,9200.png,9_2_0_0
8_2_0_0,8200.png,8_2_0_0
7_2_0_0,7200.png,7_2_0_0
6_2_0_0,6200.png,6_2_0_0
5_2_0_0,5200.png,5_2_0_0
4_2_0_0,4200.png,4_2_0_0
3_2_0_0,3200.png,3_2_0_0
